Analytics overview
2026-04-29 - 2026-05-29
Content types,Organic
Devices,All
Source,All
Publish Types,
Age,All
Gender,All
Claimed accounts,All Pins
Format,All
Curated content,Not included

Date,Saves
2026-04-29,0
2026-04-30,0
2026-05-01,0
2026-05-02,0
2026-05-03,0
2026-05-04,0
2026-05-05,0
2026-05-06,0
2026-05-07,0
2026-05-08,0
2026-05-09,0
2026-05-10,2
2026-05-11,0
2026-05-12,0
2026-05-13,1
2026-05-14,0
2026-05-15,0
2026-05-16,0
2026-05-17,1
2026-05-18,0
2026-05-19,0
2026-05-20,1
2026-05-21,0
2026-05-22,0
2026-05-23,1
2026-05-24,1
2026-05-25,0
2026-05-26,0
2026-05-27,
2026-05-28,
2026-05-29,

Top Boards 2026-04-29 - 2026-05-29
Pinterest Link,Impressions,Engagement,Pin clicks,Outbound clicks,Saves
https://www.pinterest.com/pawandsage/cat-owner-hacks/,346,22,18,5,3
https://www.pinterest.com/pawandsage/indoor-cat-life/,306,26,16,8,3
https://www.pinterest.com/pawandsage/best-cat-products/,243,7,6,5,0
https://www.pinterest.com/pawandsage/cat-behavior-explained/,211,14,11,3,1
https://www.pinterest.com/pawandsage/playful-cats/,21,2,2,1,0
https://www.pinterest.com/pawandsage/new-cat-parent/,21,0,0,0,0
Top boards table is restricted to data from the last 6 months.

Top Pins 2026-04-29 - 2026-05-29
Pinterest Link,Content Type,Source,Canonical,Outbound clicks
https://www.pinterest.com/pin/1138707087055682816/,Organic,From you,Yes,4
https://www.pinterest.com/pin/1138707087055559384/,Organic,From you,Yes,3
https://www.pinterest.com/pin/1138707087055780241/,Organic,From you,Yes,2
https://www.pinterest.com/pin/1138707087055932963/,Organic,From you,Yes,2
https://www.pinterest.com/pin/1138707087056320463/,Organic,From you,Yes,2
https://www.pinterest.com/pin/1138707087056252913/,Organic,From you,Yes,1
https://www.pinterest.com/pin/1138707087055404307/,Organic,From you,Yes,1
https://www.pinterest.com/pin/1138707087056120359/,Organic,From you,Yes,1
https://www.pinterest.com/pin/1138707087055744951/,Organic,From you,Yes,1
https://www.pinterest.com/pin/1138707087055784266/,Organic,From you,Yes,1
https://www.pinterest.com/pin/1138707087055776907/,Organic,From you,Yes,1
https://www.pinterest.com/pin/1138707087056380321/,Organic,From you,Yes,1
https://www.pinterest.com/pin/1138707087055805160/,Organic,From you,Yes,1
https://www.pinterest.com/pin/1138707087055865700/,Organic,From you,Yes,1
Top pins table is restricted to data from the last 6 months.

